QUESTIONS,RESPONSES
1. Nchifukwa chanji akagwilira amamangidwa amuna wokha?,"Chapter:4,Section:20, Amuna ndi akazi onse amamangidwa malingana ndi mlandu, kutengela ndi Section 20, Chapter 4 cha Buku la Malamulo a Malawi, lomwe limaletsa kusankhana pa kugwiritsa ntchito malamulo, ndipo onse ayenera kukhala ndi mlandu ofanana."
2. Kuchosa amaudindo ngati sakukwanisa ntchito?  ,"Chapter:10, Section: 198, Anthu amachotsedwa ngati sakukwanitsa udindo wawo, Section 198, Chapter 10 cha Constitution, chimafotokoza malamulo oti anthu ogwira ntchito m’boma kapena m'mabungwe azichotsedwa ngati sakuchita bwino kapena achita zachinyengo."
3. Nchito zina zilibe leave bwanji? ,"Chapter: 4, Section 31, Malamulo amapereka ufulu wa leave kwa ogwira ntchito onse, kutengela ndi Section 31, Chapter 4 cha Constitution, limene limapereka ufulu wogwira ntchito kukhala ndi maholide kapena leave monga Section la ufulu wa ntchito."
"4. Banja likatha koma nkazi sanapange nawo contribute zinthu koma amatengako gawo laachuma, ndimafuna ndiziwe chifukwa ","Chapter: 4, Section:24, Malamulo amateteza nkazi ngakhale sanapange contribute, izi zili mu Section 24, Chapter 4 cha Constitution ya Malawi, lomwe limatsimikizira kuti nkazi ali ndi ufulu m'banja ngakhale sanapereke gawo lake la ndalama, komanso akuyenera kulandiridwa mopanda tsankho."
"5. Wotiyimila samabwelesa chitukuko kumadera, malamulo amakamba chani ","Chapter: 6, Section: 8, Nyumba ya Malamulo imayenera kuyimila anthu bwino, kutengela ndi ndondomeko za Chapter 6, Section 8, imene imayikira patsogolo kuyimilira nzika zonse mogwirizana ndi zofuna zawo ndikutsatira ulamuliro wa malamulo."
6. Ndimafuna ndiziwe malamulo ,"Chapter: 4, Section: 44, Constitution ya Malawi imakamba za ufulu wanu, mu Section 44, Chapter 4, mumanena kuti ufulu uliwonse womwe nzika ili nawo uyenera kutetezedwa ndpo suyenela kuikidwa pansi pa malamulo ena."
"7. Mazisogoleri sabwelesa chitukuko kumuzi, titani ","Chapter: 6, Section :8, Anthu amatha kufunsa mafunso ku Nyumba ya Malamulo, malinga ndi Section 8, Chapter 6, imene imawona kuti nzika zonse zili ndi ufulu wofunsa malamulo ndi zofuna za boma kudzera mwa oyimilira awo."
8. Ana asikana sakupitiliza maphunziro chifukwa chamabanja achangu ,"Chapter: 3, Section:13, Ana onse ayenera kumaliza sukulu, izi zili mu Section 13, Chapter 3 cha Constitution, komwe kumatchula kuti boma liyenera kupereka maphunziro kwa ana onse mpaka kukwaniritsa zofunikira zawo."
9. Ufulu wa anthu achikulire ,"Chapter: 3, Section: 30(b) Anthu achikulire ali ndi ufulu wa chitetezo, kutengela ndi Section 13(b), Chapter 3, lomwe limatsindika kuti boma liyenera kusamalira anthu achikulire powapatsa chitetezo ndi zothandiza pamoyo wawo."
10. Funa kudziwa za ufulu wanga?  ,"Chapter: 4, Section: 44, Ufulu wanu uli mu Constitution ya Malawi, malinga ndi Section 44, Chapter 4, lomwe limatsimikizira kuti ufulu uliwonse womwe constitution imapereka uyenera kutetezedwa mogwirizana ndi malamulo."
11. Chilango cha munthu wagwilira chimati chani ,"Chapter: 15, section: 137, Chilango cha munthu ogwilira ndi zaka 14, kutengela ndi Section 137, Chapter 15, lomwe limapereka malamulo okhwima pa milandu yokhudza kugwilira komanso kuphwanya ufulu wa ena."
12. Mafuna kudziwa dza ufulu wathu opanga ma demo ,"Chapter: 4, Section 38, Malamulo amalola ma demo mwa mtendere, malinga ndi Section 38, Chapter 4 cha Constitution, lomwe limapereka ufulu wa anthu kusonkhana ndikupanga ma demo popanda kuphwanya mtendere."
13. Malamulo amathandiza bwanji azimayi omwe achitidwa nkhanza kubanja ,"Chapter: 4, Section: 24, Constitution imateteza azimayi ku nkhanza, izi zili mu Section 24, Chapter 4, lomwe limatsimikizira kuti akazi ali ndi ufulu wofanana ndi amuna ndipo ayenera kutetezedwa ku nkhanza za m’banja."
14. Malamulo amati chani kwa amene tagulisidwa malo mobeledwa kapena mwachinyengo ,"Chapter: 4, Section: 24, Malamulo amakulolani kudzafuna chilungamo ku khoti, kutengela ndi Section 41, Chapter 4 cha Constitution, limene limatsimikizira kuti aliyense ali ndi ufulu wopeza chilungamo kudzera m’khoti popanda ziletso."
"15. A city akutolela ndalama mmakomo koma ife chitukuko sitikuchiona, malamulo angatithandize bwanji ","Chapter: 14, Section: 146, Ndondomeko za city council zili ndi ulamuliro wa nyumba za malamulo, izi zikukhudzana ndi Section 146, Chapter 14, komwe malamulo a nyumba za boma amasamalira ndondomeko za chitukuko kumidzi ndi m’matauni."
16. Ndimafuna kudziwa za malamulo a mdziko lino ,"Chapter: 1, Section: 5, Constitution ndi ndondomeko zazikulu za malamulo, izi zili mu Section 5, Chapter 1 cha Constitution, chomwe chimakhazikitsa Constitution ngati gwero lalikulu la malamulo a dziko."
